fecha,ipp
2023-08-01,175.99
2023-09-01,177.29
2023-10-01,177.72
2023-11-01,175.78
2023-12-01,174.46
2024-01-01,175.88
2024-02-01,177.47
2024-03-01,177.63
2024-04-01,178.18
2024-05-01,177.37
2024-06-01,179.0
2024-07-01,179.21
2024-08-01,177.68
2024-09-01,179.18
2024-10-01,180.55
2024-11-01,182.86
2024-12-01,184.51
2025-01-01,185.81
2025-02-01,185.74
2025-03-01,185.59
2025-04-01,185.55
2025-05-01,183.75
2025-06-01,182.7
2025-07-01,183.74
2025-08-01,184.62
2025-09-01,185.51
2025-10-01,184.22
2025-11-01,182.03
2025-12-01,181.01
2026-01-01,183.09
2026-02-01,184.47
2026-03-01,188.84
2026-04-01,189.54
2026-05-01,189.59
